scenario_id,timestamp,kpi_name,kpi_level,node,value,baseline_value,anomaly_score,forecast_value,threshold,status,related_interfaces,related_components
SCENARIO-01,2026-08-12T10:01:54Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.53,99.5,0.03,99.46,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:02:00Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.41,99.5,0.05,99.54,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:02:06Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.47,99.5,0.02,99.42,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:02:12Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.46,99.5,0.04,99.47,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:02:18Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.38,99.5,0.02,99.59,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:02:24Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.49,99.5,0.04,99.48,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:02:30Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.57,99.5,0.05,99.48,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:02:36Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.58,99.5,0.02,99.46,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:02:42Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.43,99.5,0.02,99.5,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:02:48Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.39,99.5,0.03,99.57,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:02:54Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.44,99.5,0.04,99.42,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:03:00Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,96.14,99.5,0.3,94.8,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:03:06Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,92.78,99.5,0.46,91.44,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:03:12Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,89.42,99.5,0.62,88.08,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:03:18Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,86.06,99.5,0.78,84.72,95.0,CRITICAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:03:24Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,82.7,99.5,0.94,81.36,95.0,CRITICAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:03:30Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,86.06,99.5,0.78,84.72,95.0,CRITICAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:03:36Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,89.42,99.5,0.62,88.08,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:03:42Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,92.78,99.5,0.46,91.44,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:03:48Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,96.14,99.5,0.3,94.8,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:03:54Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.42,99.5,0.03,99.49,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:04:00Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.49,99.5,0.04,99.52,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:04:06Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.52,99.5,0.04,99.52,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:04:12Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.51,99.5,0.04,99.41,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:04:18Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.42,99.5,0.04,99.58,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:04:24Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.44,99.5,0.03,99.43,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:04:30Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.51,99.5,0.02,99.55,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:04:36Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.59,99.5,0.02,99.51,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:04:42Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.44,99.5,0.03,99.43,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:04:48Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.43,99.5,0.03,99.59,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:04:54Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.5,99.5,0.05,99.43,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:05:00Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.54,99.5,0.02,99.42,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:05:06Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.46,99.5,0.03,99.52,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:05:12Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.45,99.5,0.03,99.5,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:05:18Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.44,99.5,0.02,99.54,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:05:24Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.5,99.5,0.04,99.46,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:05:30Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.41,99.5,0.05,99.41,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:05:36Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.4,99.5,0.05,99.55,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:05:42Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.54,99.5,0.03,99.42,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:05:48Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.47,99.5,0.03,99.43,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:05:54Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.48,99.5,0.03,99.51,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-02,2026-08-12T10:14:24Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.82,98.8,0.03,98.78,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:14:30Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.84,98.8,0.03,98.79,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:14:36Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.67,98.8,0.03,98.79,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:14:42Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.75,98.8,0.04,98.76,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:14:48Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.75,98.8,0.05,98.73,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:14:54Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.89,98.8,0.03,98.84,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:15:00Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.74,98.8,0.03,98.72,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:15:06Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.76,98.8,0.03,98.72,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:15:12Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.87,98.8,0.04,98.74,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:15:18Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.84,98.8,0.02,98.83,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:15:24Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.78,98.8,0.03,98.86,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:15:30Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.74,98.8,0.05,98.83,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:15:36Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.69,98.8,0.02,98.75,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:15:42Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.69,98.8,0.02,98.85,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:15:48Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.67,98.8,0.05,98.83,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:15:54Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.77,98.8,0.04,98.82,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:16:00Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.82,98.8,0.05,98.83,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:16:06Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.9,98.8,0.03,98.89,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:16:12Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.73,98.8,0.03,98.79,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:16:18Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.81,98.8,0.04,98.82,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:16:24Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.74,98.8,0.02,98.79,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:16:30Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.66,98.8,0.03,98.76,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:16:36Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.81,98.8,0.05,98.72,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:16:42Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.8,98.8,0.03,98.82,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:16:48Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.89,98.8,0.04,98.71,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:16:54Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.88,98.8,0.04,98.74,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:17:00Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.8,98.8,0.04,98.89,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:17:06Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.76,98.8,0.04,98.87,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:17:12Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.9,98.8,0.02,98.83,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:17:18Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.66,98.8,0.04,98.9,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:17:24Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,94.24,98.8,0.3,92.42,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:17:30Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,89.68,98.8,0.46,87.86,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:17:36Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,85.12,98.8,0.62,83.3,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:17:42Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,80.56,98.8,0.78,78.74,92.0,CRITICAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:17:48Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,76.0,98.8,0.94,74.18,92.0,CRITICAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:17:54Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,80.56,98.8,0.78,78.74,92.0,CRITICAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:18:00Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,85.12,98.8,0.62,83.3,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:18:06Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,89.68,98.8,0.46,87.86,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:18:12Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,94.24,98.8,0.3,92.42,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:18:18Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.78,98.8,0.04,98.77,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:18:24Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.88,98.8,0.03,98.85,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:18:30Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.82,98.8,0.02,98.83,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:18:36Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.73,98.8,0.03,98.81,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:18:42Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.75,98.8,0.03,98.87,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:18:48Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.89,98.8,0.04,98.73,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:18:54Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.67,98.8,0.04,98.88,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:19:00Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.73,98.8,0.04,98.83,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:19:06Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.68,98.8,0.04,98.72,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:19:12Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.79,98.8,0.04,98.77,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:19:18Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.68,98.8,0.04,98.89,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:19:24Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.9,98.8,0.05,98.72,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:19:30Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.82,98.8,0.04,98.7,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:19:36Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.73,98.8,0.05,98.77,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:19:42Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.84,98.8,0.03,98.9,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:19:48Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.69,98.8,0.03,98.86,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:19:54Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.78,98.8,0.04,98.85,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:20:00Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.78,98.8,0.04,98.88,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:20:06Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.8,98.8,0.04,98.73,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:20:12Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.7,98.8,0.04,98.82,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-02,2026-08-12T10:20:18Z,INITIAL_REGISTRATION_SUCCESS_RATIO,L2,AMF-02,98.88,98.8,0.04,98.71,92.0,NORMAL,N1;N2;N8;N12,AMF;AUSF;GNB;UDM;UE
SCENARIO-03,2026-08-12T10:28:48Z,USER_PLANE_PACKET_DELIVERY_SUCCESS_RATIO,L1,UPF-02,99.14,99.2,0.04,99.29,94.0,NORMAL,N3;N4;N6,DATA_NETWORK;GNB;SMF;UPF
SCENARIO-03,2026-08-12T10:28:54Z,USER_PLANE_PACKET_DELIVERY_SUCCESS_RATIO,L1,UPF-02,99.2,99.2,0.04,99.26,94.0,NORMAL,N3;N4;N6,DATA_NETWORK;GNB;SMF;UPF
